metric,system_a,system_b,n_pairs,mean_a,mean_b,mean_diff,ci_low,ci_high,cohens_dz,t_stat,p_paired_t,p_wilcoxon,p_holm,significant_holm_05,question_budget,condition
accuracy_macro,B7,B6,15,0.6011423161007591,0.5760815228311722,0.025060793269586754,0.022996539106099913,0.027142082918755306,6.00817531655241,23.269562942101963,1.3684503317448488e-12,6.103515625e-05,5.473801326979395e-12,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
acc_revision_sensitive,B7,B6,15,0.20769159003955828,0.14178102828895156,0.06591056175060676,0.06300166053749386,0.0691986954051218,10.465775066966478,40.53377253951398,6.462519477328033e-16,6.103515625e-05,3.87751168639682e-15,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
knowledge_survival,B7,B6,15,0.8297466666666667,0.8230966666666666,0.006650000000000015,0.0050165833333333295,0.008203333333333356,2.048892150723003,7.935325177925287,1.5049758975686978e-06,0.0001220703125,1.0534831282980885e-05,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
contradiction_f1,B7,B6,15,0.6354289770816303,0.640266232098795,-0.004837255017164655,-0.01158529961713456,0.00192902742599422,-0.3441461097552518,-1.33287215174416,0.20385995754731967,0.25238037109375,1.0,False,0.05,correlated_org|0.5|none|0.0|0|post_failure
ece_recalibrated,B7,B6,15,0.0056112220795853,0.006324736817247978,-0.0007135147376626761,-0.002827313192182327,0.0013089461413838867,-0.17008702080593835,-0.6587441989874337,0.5207476378558735,0.76153564453125,1.0,False,0.05,correlated_org|0.5|none|0.0|0|post_failure
accuracy_macro,B3Q,B3,15,0.6000796521621706,0.5626755413368676,0.037404110825303115,0.0353116289563091,0.039397072873505405,8.940324252965262,34.62572694142873,5.745798860982836e-15,6.103515625e-05,5.1712189748845524e-14,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
acc_revision_sensitive,B3Q,B3,15,0.17654083872545182,0.08272918309550491,0.09381165562994692,0.08912051517078251,0.0982626798791959,9.84361676428748,38.12416379453356,1.5132024359709517e-15,6.103515625e-05,6.052809743883807e-15,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
knowledge_survival,B3Q,B3,15,0.8324999999999999,0.8210266666666667,0.011473333333333342,0.01025658333333333,0.012643333333333333,4.707301537418937,18.231300460000114,3.758142772688048e-11,6.103515625e-05,4.885585604494463e-10,True,0.05,correlated_org|0.5|none|0.0|0|post_failure
contradiction_f1,B3Q,B3,15,0.4599452395609345,0.45794556065792147,0.0019996789030129985,-0.002886448483719482,0.006980256312714669,0.19688237928617977,0.7625221761370663,0.4584040695500779,0.48870849609375,1.0,False,0.05,correlated_org|0.5|none|0.0|0|post_failure
ece_recalibrated,B3Q,B3,15,0.00631661622818795,0.0041716125142204205,0.0021450037139675287,0.0005557365830379106,0.0036959168070468972,0.6637421209989873,2.570662180805466,0.02220868302684147,0.0301513671875,0.9327646871273417,False,0.05,correlated_org|0.5|none|0.0|0|post_failure
accuracy_macro,B7,B6,15,0.5231887856531093,0.5097732621679713,0.013415523485138126,0.010023475077459869,0.016479582942036382,2.0221977782815137,7.83193831802194,1.751871038951656e-06,0.0001220703125,1.751871038951656e-06,True,0.05,random|0.3|node_coordinated|0.2|0|post_failure
